timestamp,ax,ay,az,gx,gy,gz,grx,gry,grz
1774801273.123360,0.027465,0.020109,-0.008176,-0.248192,0.233558,0.165297,-0.053283,-0.440290,-0.896273
1774801273.132178,0.031128,0.021139,-0.014841,-0.234484,0.246535,0.159393,-0.051819,-0.437933,-0.897513
1774801273.142280,0.038708,0.028057,-0.018612,-0.181229,0.266257,0.145850,-0.050152,-0.436000,-0.898548
1774801273.152064,0.052634,0.021319,-0.018110,-0.144343,0.281074,0.128629,-0.048270,-0.434450,-0.899401
1774801273.163128,0.071460,0.000309,-0.022155,-0.121827,0.271233,0.098968,-0.046253,-0.433186,-0.900117
1774801273.172261,0.084739,-0.007886,-0.019019,-0.116812,0.249402,0.090371,-0.044303,-0.432040,-0.900765
1774801273.182233,0.092400,-0.015135,-0.016545,-0.127991,0.227239,0.083196,-0.042503,-0.430910,-0.901393
1774801273.192323,0.082976,-0.031546,-0.016226,-0.142997,0.209833,0.073664,-0.040831,-0.429635,-0.902079
1774801273.202371,0.082666,-0.021391,-0.011575,-0.124853,0.184787,0.101924,-0.039423,-0.428362,-0.902747
1774801273.213234,0.075464,-0.010214,-0.007616,-0.074063,0.184479,0.119446,-0.038248,-0.427424,-0.903242
1774801273.222539,0.062168,-0.012898,-0.005708,-0.045743,0.198932,0.146297,-0.037067,-0.426784,-0.903594
1774801273.232651,0.063980,-0.007982,-0.000207,0.020615,0.198906,0.168382,-0.035950,-0.426604,-0.903724
1774801273.242584,0.070469,-0.021871,-0.002639,0.052666,0.184780,0.203450,-0.034977,-0.426860,-0.903641
1774801273.252622,0.080456,-0.045718,-0.003137,0.018998,0.157646,0.226402,-0.034359,-0.427091,-0.903556
1774801273.262705,0.077207,-0.061700,-0.006301,-0.012827,0.144008,0.221333,-0.033933,-0.427009,-0.903611
1774801273.272815,0.073465,-0.050430,-0.008978,-0.027418,0.123236,0.250749,-0.033747,-0.426681,-0.903772
1774801273.283012,0.058708,-0.039500,-0.014584,-0.023495,0.126924,0.275616,-0.033775,-0.426335,-0.903934
1774801273.293044,0.052068,-0.030475,-0.012524,0.011265,0.139816,0.285730,-0.033742,-0.426145,-0.904026
1774801273.303046,0.060321,-0.033229,-0.015308,0.024620,0.134335,0.288516,-0.033694,-0.426228,-0.903988
1774801273.313081,0.079514,-0.040586,-0.012742,0.035212,0.111719,0.271442,-0.033722,-0.426318,-0.903945
1774801273.323706,0.086775,-0.045320,-0.016834,-0.000900,0.087471,0.286139,-0.034010,-0.426299,-0.903943
1774801273.333128,0.075059,-0.045892,-0.019539,-0.025198,0.077202,0.280306,-0.034440,-0.426047,-0.904045
1774801273.343321,0.084321,-0.029906,-0.019834,-0.019050,0.061122,0.277294,-0.034989,-0.425722,-0.904177
1774801273.353182,0.085181,-0.021332,-0.019363,-0.017467,0.054081,0.240906,-0.035606,-0.425384,-0.904312
1774801273.363350,0.070039,-0.024048,-0.024849,-0.024550,0.042305,0.235324,-0.036164,-0.425095,-0.904426
1774801273.373791,0.071001,-0.011089,-0.026011,0.001400,0.045317,0.214869,-0.036760,-0.424885,-0.904501
1774801273.383382,0.064291,-0.013429,-0.032713,-0.012503,0.040471,0.180879,-0.037191,-0.424757,-0.904543
1774801273.393622,0.068290,-0.012342,-0.027798,-0.035086,0.014369,0.158537,-0.037651,-0.424518,-0.904637
1774801273.404444,0.071056,-0.020782,-0.028982,-0.027048,-0.009221,0.128715,-0.038204,-0.424195,-0.904765
1774801273.413573,0.070672,-0.036475,-0.030077,-0.074294,-0.022144,0.104368,-0.038873,-0.423638,-0.904997
1774801273.423750,0.067240,-0.033127,-0.018844,-0.070795,-0.047776,0.084221,-0.039575,-0.422851,-0.905335
1774801273.433565,0.067982,-0.021589,-0.010936,-0.034941,-0.069583,0.065473,-0.040440,-0.422335,-0.905537
1774801273.443657,0.068579,-0.033678,-0.006347,-0.014857,-0.096296,0.040633,-0.041403,-0.422087,-0.905609
1774801273.453618,0.061279,-0.043582,0.003279,0.019773,-0.113838,0.015640,-0.042420,-0.422055,-0.905577
1774801273.463867,0.061942,-0.032033,0.017860,0.060325,-0.128583,0.025138,-0.043601,-0.422374,-0.905372
1774801273.474017,0.056253,-0.041418,0.022310,0.072894,-0.127681,0.019719,-0.044900,-0.422968,-0.905031
1774801273.483853,0.053763,-0.051722,0.022714,0.087424,-0.131209,0.040620,-0.046195,-0.423727,-0.904611
1774801273.493887,0.058966,-0.066168,0.037665,0.057981,-0.173817,0.060028,-0.047827,-0.424463,-0.904181
1774801273.503960,0.057007,-0.073532,0.046466,0.031478,-0.193585,0.064896,-0.049774,-0.424896,-0.903873
1774801273.514321,0.066221,-0.063041,0.054549,0.003286,-0.222920,0.098443,-0.051984,-0.424997,-0.903701
1774801273.524161,0.072988,-0.048984,0.063462,-0.028142,-0.243489,0.099567,-0.054556,-0.424802,-0.903641
1774801273.534453,0.053605,-0.048318,0.072273,-0.029443,-0.236341,0.111074,-0.057145,-0.424414,-0.903663
1774801273.544188,0.047415,-0.045236,0.074688,-0.049621,-0.222649,0.118317,-0.059699,-0.423956,-0.903713
1774801273.554674,0.048882,-0.051796,0.075231,-0.091716,-0.224570,0.108135,-0.062203,-0.423317,-0.903844
